27-Oct-09,Application Development Theatre,12:30,13:00,Application Development,,Olli Airaksinen,Key Components for Successful Mobile Application Development,
27-Oct-09,Application Development Theatre,13:00,14:00,Application Development,Alex Pressland,"Jim Carroll
Josh Alner
Tim Haysom","Panel Discussion: Choosing a Mobile Development Platform: Considerations, Questions, the Future",
27-Oct-09,Application Development Theatre,14:00,14:30,Application Development,,Pekka Kosonen,Next Generation Hybrid Applications - Utilizing your Web Development Skills with Qt based Solutions,Qt is a cross-platform application and UI framework. The integration of the open source WebKit browser engine and Qt application and UI framework blurs the line between application and content. The resulting mixed-mode services are efficient to build and deliver functionality that would be difficult or impossible to develop using only web APIs or only native development environments. Combining the simplicity of web technologies with the power of the Qt application framework allows designers and coders to concentrate on what they do best.
27-Oct-09,Application Development Theatre,15:00,15:30,Application Development,,Zach Berke,Building mobile quickly!  One development team's story of a four week Symbian WRT development project: the Wine.com mobile application. ,"Wine.com came to Exygy with a great idea (build a mobile Symbian app on top of the beta Wine API) and an insane timeline (get it done in 4 weeks). Exygy identified Symbian WRT as an easy to use framework that would allow for rapid development by leveraging well understood web technologies (mainly JavaScript). Exygy worked with Wine.com and Symbian to get a core application built rapidly and continues to work with Wine.com to build new features.&nbsp; In this talk, we'll look at the Wine.com app as a case study illustrating the pros and cons of Symbian WRT development highlighting lessons learned during this rapid development project."
27-Oct-09,Application Development Theatre,15:30,16:00,Application Development,,Craig Heath,How to Write Secure Applications ,
27-Oct-09,Application Development Theatre,16:00,16:30,Application Development,,Matt McAlister,Mobile Mashup Quickfire: The Guardian,
27-Oct-09,Application Development Theatre,16:30,17:00,Application Development,,Daniel Jacobson,Mobile Mashup Quickfire: NPR ,
27-Oct-09,Application Development Theatre,17:00,17:30,Application Development,,Paul Beusterien,The Open Road:Tools roadmap for an open source mobile platform and next gen web apps,"1. Tools Plans - Overview of the strategy and plans for Symbian tools
2. Web Development Tools - In recent years, the web is transitioning to be a first-class development platform. I'll give a survey of some of the different technologies and directions like phonegap, Blinki, Appcelerator, RhoMobile, and WRT"
28-Oct-09,Application Development Theatre,13:00,13:30,Application Development,,John Carpenter,From Concept to Commercialization: User Feedback Techniques to Make Great Mobile Software,"In order to make great software, users MUST be included in the development process. But, unlike traditional client/server and web development, mobile software offers significant challenges to engage users in both functional and usability feedback. So, many firms choose to ignore or just do basic functional testing. It's not enough... no wonder that 50% of applications crash on intended handsets or that only 3% of applications are still in use after 3 months. Great software leads to stickiness; increased customer loyalty to your brand (also known as 'going viral'). In a world where developers have limited marketing budgets, they must rely on a great user experience so that people will tell their friends and post great reviews. This word of mouth leads to sustained growth and mobile app success!<br /><br />In this session, we'll review two software product feedback techniques as they apply to mobile development: Townhalls and Customer Loyalty 2.0.<br /><br />1) Challenges of user feedback in mobile app development due to fragmentation<br />2) Using 'Townhall' techniques in the alpha cycle to get product feedback to optimize the user experience BEFORE you port or release<br />3) Using 'Customer Loyalty' techniques in the beta cycle to assess feedback in real-world situations, as well as identifying if your apps will go viral<br />"
28-Oct-09,Application Development Theatre,13:30,14:00,Application Development,,Mark Doherty,Mobile Application development with the Flash Platform,
28-Oct-09,Application Development Theatre,14:00,14:30,Application Development,,John Forster,LBS and the Power of Community,
28-Oct-09,Application Development Theatre,14:30,15:00,Application Development,,Sami Viitanen,Widget Meets Home Screen and Platform Services,"This presentation gives the big picture about the S60 Web Runtime (WRT) Widgets and Platform Services providing all needed information to develop Web Runtime Widgets from the beginning (tools, technologies and practices) to the end (device support and distribution). The development of WRT Widgets is based on traditional Web technologies like HTML, CSS and JavaScript adding S60 specific packaging to provide installable package, native application like end-user experience and tight integration to platform features like messaging, contacts or location via JavaScript. Presentation is divided in 2 parts:

1) Theoretical approach to technology providing needed background information.
2) Practical approach with instructor led widget coding to show how to utilize available tools for WRT widget development. Presentation will cover for example: 

* Essentials of Web Runtime widgets 
* How to use Aptana with Nokia WRT plugin 2.0 (creation, testing, debugging and deployment of widgets with the home screen feature)
* What can I do with platform services on my widget - integration to platform features"
28-Oct-09,Application Development Theatre,15:00,15:30,Application Development,,Jon Billings,BBC iPlayer on mobile: An internal exam: A review of the anatomy of the widget for BBC iPlayer on mobile.,"Discusses how well factored software design leads to cost effective and affordable repurposing of AV content for new platforms such as mobile, and shows how Symbian Widget Runtime effectively enables pure web shops such as BBC to deliver compelling home screen applications"
28-Oct-09,Application Development Theatre,15:30,16:00,Application Development,Shaun Puckrin,"Demian Perry
Michael  Coffey
Patrick Mork
Redg Snodgrass",Panel Discussion: Beyond the Store: How do you go about getting traction and distribution for your app?,
27-Oct-09,Application Development Theatre,14:30,15:00,Application Development,,Michael Moore,Symbian and Location: Trends and Technology,"With GPS capabilities becoming de facto on mobile devices, LBS have the ability to bridge the virtual and physical worlds and really extend the use of the mobile phone. Learn about trends in the location based application industry and how to include the technology in your own application. The presentation will cover: 
-  An overview of positioning technologies and handset trends and their impact on the future of LBS, including: 
-  higher accuracy in positioning 
-  the importance of high-quality map data and location content
-  a wide range of handset technologies, from browsers, sensors/ accelerometers, cameras and OCR (optical character recognition) technology to haptics and their usefulness for LBS apps 
-  How location and context awareness enables a new era of mobile apps, e.g. multi-modal navigation, location-based entertainment, social networking and location-based advertising
-  How to get started using NAVTEQ map data and location content
-  Overview of some available APIs and technical resources"
27-Oct-09,Area 1,14:00,15:00,Birds of a Feather,,Remek Zajac,Bearer Mobility (the future of),
27-Oct-09,Area 1,15:00,16:00,Birds of a Feather,,"Jo Stichbury
Hamish Willee",Building knowledge through wiki documentation ,
27-Oct-09,Area 1,16:00,17:00,Birds of a Feather,,"Dan McNeil
Roderick Burns",Symbian Signed,
28-Oct-09,Area 1,14:00,15:00,Birds of a Feather,,"Allix Harrison-D'Arcy
Joe Neale",The Future of Augmented Reality: How to create a working framework of standards ,
28-Oct-09,Area 1,15:00,16:00,Birds of a Feather,,Salvatore Rinaldo,Mobile development with Qt for Symbian,
27-Oct-09,Area 4,14:00,15:00,Birds of a Feather,,"Chris Dudding
Stefan Williams","Persistent Data, File Systems and Memory - Past, Present and Future ",
27-Oct-09,Area 2,15:00,16:00,Birds of a Feather,,"Jezar Wakefield
James Nash",NGMA & OpenMAX components in Multimedia ,
27-Oct-09,Area 2,16:00,17:00,Birds of a Feather,,Scott Weiss,Live UI Brainstorm - User Interface BoF ,
28-Oct-09,Area 2,14:00,15:00,Birds of a Feather,,Mark Mitchell,Open-Source Tools for Symbian App Development,
28-Oct-09,Area 2,15:00,16:00,Birds of a Feather,,Dennis Lee,Symbian Developer - App developer needs online,
